id,Model,Display name,Hugging Face developer id,Version release date,Notes,Link,Aider’s polyglot benchmark,OS World (Screenshot),LiveBench,Balrog,The Agent Company,AidanBench,WeirdML V1,WebDevArena,SimpleBench,Factorio Learning Environment,HCAST,RE-Bench,MCBench,VendingBench,METR horizon lengths,Cybench,Lech Mazur Writing,TEMPLATE,GeoBench,Fiction.LiveBench,CadEval,VPCT,HellaSwag,OpenBookQA,WinoGrande,MMLU,BBH,TriviaQA,autoadvexbench,Terminal Bench,BrowseComp,OSUniverse,VideoMME,GSO-Bench,GSM8K,CommonSenseQA 2,SuperGlue,LAMBADA,BoolQ,PIQA,ARC AGI,Adversarial NLI,ScienceQA,DeepResearch Bench,WeirdML V2,ARC AI2,EnigmaEval,VISTA,ToolComp,Has external benchmark result on hub (WIP),TEMPLATE copy
text-embedding-3-large,text-embedding-3-large,,,2024-01-25,"Embeddings are a numerical representation of text that can be used to measure the relatedness between two pieces of text. Embeddings are useful for search, clustering, recommendations, anomaly detection, and classification tasks. You can read more about our latest embedding models in the announcement blog post.",https://platform.openai.com/docs/models#embeddings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
text-embedding-3-small,text-embedding-3-small,,,2024-01-25,"Embeddings are a numerical representation of text that can be used to measure the relatedness between two pieces of text. Embeddings are useful for search, clustering, recommendations, anomaly detection, and classification tasks. You can read more about our latest embedding models in the announcement blog post.",https://platform.openai.com/docs/models#embeddings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
WizardLM-2-8x22B,WizardLM-2 8x22B,,alpindale,2024-04-15,,https://huggingface.co/alpindale/WizardLM-2-8x22B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Yi-1.5-34B,Yi-1.5-34B,,01-ai,2024-05-13,,https://huggingface.co/01-ai/Yi-1.5-34B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Yi-1.5-34B-Chat,Yi-1.5-34B,,01-ai,2024-05-13,,https://huggingface.co/01-ai/Yi-1.5-34B-Chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Yi-34B,Yi-34B,,01-ai,2023-11-02,,https://huggingface.co/01-ai/Yi-34B,,,,,,,,,,,,,,,,,,,,,,,,,,"recjx70KTlRekGQ02,recwCEStuvtsY9T89",recCgyVX0fWUPFOkO,,,,,,,,recpRrI1v4ew4AMpx,,,,,,,,,,,,,,,0,
Yi-34B-Chat,Yi-34B,,01-ai,2023-11-22,,https://huggingface.co/01-ai/Yi-34B-Chat,,,,,,,,,,,,,,,,,,,,,,,,,,"recswVGACIIFbdPtu,reckSm2dCL3rMGbBd","recL10qlbGM5RuDG7,recRvnph65VrLPHGb",,,,,,,,"recYK13JohCBsAbGm,recmFCa4UkrZjtfQt",,,,,,,,,,,,,,,0,
ministral-3b-2410,Ministral 3B,,,2024-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
ministral-8b-2410,Ministral 8B,,,2024-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
mistral-large-2402,Mistral Large,,,2024-02-26,,,,,,,,mistralai/mistral-large-latest,,,,,,,,,,,,,,,,,,,,recMfHwyb3g0GU3WP,,,,,,,,,,,,,,,,,,,,,,,,0,
mistral-large-2407,Mistral Large 2,,,2024-07-24,,,,,,,,,,,recqB8MS2LaGRGShV,,,,,,,,recTwh7ZHo9GJj9wP,,,,,,,,,recKDxkbfoASopZz7,,,,,,,,,,,,,,,,,,,,,,,,1,
open-mistral-7b,Mistral 7B,,,2023-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
open-mistral-nemo-2407,Mistral NeMo,,,2024-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
open-mixtral-8x22b,Mixtral 8x22B,,,2024-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
open-mixtral-8x7b,Mixtral 8x7B,,,2023-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Llama-3.3-70B-Instruct,Llama 3.3 70B,,meta-llama,2024-12-06,"Knowledge cutoff date is December 1, 2023, according to https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct.",https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,,,llama-3.3-70b-instruct-turbo,recY4fmN8bgBjHj5R,,meta-llama/llama-3.3-70b-instruct,,,recSRP5IhOYxwzPxz,recSofqqLH2kQXHkd,,,Meta Llama 3.3 - 70B - Instruct,,,,,,,recPyEYytP25K8KFp,,,,,,recFwE99pUPS1RrqR,,,,,,,,,,,,,,,,,,,rec47nnjaiMGa2Hvi,,,,,1,
Llama-3.2-90B-Vision-Instruct,Llama 3.2 90B,,meta-llama,2024-09-24,"Knowledge cutoff date is December 1, 2023, according to https://huggingface.co/meta-llama/Llama-3.2-90B-Vision-Instruct.",https://huggingface.co/meta-llama/Llama-3.2-90B-Vision-Instruct,,,,recHmm4u7kk4i2kTV,,meta-llama/llama-3.2-90b-vision-instruct,,,,,,,,,,,,,recuaxYkSjCYJAD6e,,,,,,,,,,,,,,,,,,,,,,,,,,,,rec6NpFSihtQdh33V,recdhQVv8mOnhotdI,,1,
Llama-3.1-Tulu-3-70B-DPO,Tulu 3 (Tülu 3) 70B,,allenai,2024-11-21,"The base model has a knowledge cutoff date of December 1, 2023, according to https://huggingface.co/meta-llama/Llama-3.1-70B.",https://huggingface.co/allenai/Llama-3.1-Tulu-3-70B-DPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
INTELLECT-MATH,INTELLECT-MATH,,PrimeIntellect,,,https://huggingface.co/PrimeIntellect/INTELLECT-MATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Eurus-2-7B-PRIME,Eurus-2-7B-PRIME,,PRIME-RL,2024-12-31,,https://huggingface.co/PRIME-RL/Eurus-2-7B-PRIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
QwQ-32B,QwQ-32B,,Qwen,2025-03-05,,https://huggingface.co/Qwen/QwQ-32B,recMjVodelAnkM0zs,,qwq-32b,,,,recItyrVOJTGKd7ul,,,,,,Qwen - qwq - 32b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,recNIkjEivJEk0zmk
DeepSeek-V3,DeepSeek-V3,,deepseek-ai,2024-12-26,,https://huggingface.co/deepseek-ai/DeepSeek-V3,recDTQzmlxzC9g2Xv,,deepseek-v3,,,,recCzqu7jbCX2v1Zn,recjl6xOWVf3sOVsn,recc5o0Xjz6mlrIKU,reci6abLRqErOAEvd,,,deepseek-v3,,rec3j0U1Ecav7Q1FA,,,,,,,,recnADYV42QsRB24p,,recRvIn2aFK6GuRSa,"recZAYS2AtKUwDAot,reciHYY3MaHRp7o7O","recyTTQiA1OzvdQei,rechnyAjkN3CHnI5g",rec9b6hIEDSUXwyOk,,,,,,,,,,,,,,,,,,recJdOZPC2C12w8XY,,,recYOH7GQacHRUUiT,1,
DeepSeek-R1,DeepSeek-R1,,deepseek-ai,2025-01-20,,https://huggingface.co/deepseek-ai/DeepSeek-R1,recAxfwG5ZWZpmiDr,,deepseek-r1,recHSLh1tcRzi8OcW,,deepseek/deepseek-r1,recZpyChBf5YzGJJ9,reclY6B2Wp2f59mld,recVHI1CZTBTCgTmM,,,,deepseek-r1,,rectWm0PAizmHcDik,,reccBYfi4bRrue4HQ,,,recsl5Wju2ogMhZCb,,,,,,,,,,rec49wbTlhSEHbviQ,,,,,,,,,,,rec9Em7ivae72BNBO,,,,rec5rZXinvvAnv0LQ,,,,recWaU7hVFlminhRr,1,
phi-4,Phi-4,,microsoft,2024-12-12,,https://huggingface.co/microsoft/phi-4,,,phi-4,recsjSXTW4U8imj8U,,,,,,,,,,,,,rect9gbTk2DzJqvos,,,,,,,,,recPr3djloYa7CtTW,,,,,,,,,,,,,,,,,,,,,,,,1,
Phi-3-medium-128k-instruct,phi-3-medium 14B,,microsoft,2024-04-23,,https://huggingface.co/microsoft/Phi-3-medium-128k-instruct,,,,,,,,,,,,,,,,,,,,,,,recY158Aob3my3MXx,"recc9groORxv5t0rq,recVdd6z2Oqgmy2eF",recawVi9MBcu9YVNA,"recIC2lbeIoOMCnU9,recCmqAcPDN7z3eOd,recokPFC1wM7clrm7",rec9iYkPYoTR9pzyx,recLjsOhngDpVoxi4,,,,,,,,,,,,,,recIkuaIsFXEwVyqh,,,,recnLrwmDVsPnimhW,,,,0,
phi-1_5,Phi-1.5,,microsoft,2023-09-11,,https://huggingface.co/microsoft/phi-1_5,,,,,,,,,,,,,,,,,,,,,,,recC009XHETCkqHuq,recqLehIM25p3OUAM,rechsjFFmjkjr59Th,recIRX5Xrwuj0aVsw,,,,,,,,,,,,,recL7N3v3HNGYrMYP,,,,,,,recoj6GK2WTBxH06V,,,,0,
Phi-3.5-MoE-instruct,Phi-3.5-MoE,,microsoft,2024-08-17,,https://huggingface.co/microsoft/Phi-3.5-MoE-instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recDI1z24XCRLbrny,,,,rec83R4zQ59VpXJGd,rec6rmWvma2wXHWfl,,,,,,,,,,0,
phi-2,Phi-2,,microsoft,2023-12-12,,https://huggingface.co/microsoft/phi-2,,,,,,,,,,,,,,,,,,,,,,,rec6Wjhlpz51HwZAb,"rec8R0aZuAAgy9GXj,recyxDPo86hq7OszB",recj9UKpqcNorm2DD,"recOjVJ9mVKxRJb67,recZMvyAbMp0eIx88",recQSNSyrXQd8UgOd,recJZ6lcpMRWGlYfC,,,,,,,,,,,,,,rec56Oyo244VigZmC,,,,rec9o6whbdGoRj4EL,,,,0,
doubao-pro-32k,Doubao-pro,,,2024-10-28,"for 'doubao-pro-32k', I'm relying on https://www.volcengine.com/docs/82379/1302004
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
mistral-small-2501,Mistral Small 3,,,2025-01-25,,https://mistral.ai/news/mistral-small-3/,,,mistral-small-2501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
qwen2.5-32b-instruct,Qwen2.5-32B,,Qwen,2024-09-17,,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,,,,,,,reckzQi8Z68zgE06v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
DeepSeek-R1-Distill-Llama-70B,DeepSeek-R1-Distill-Llama-70B,,deepseek-ai,2025-01-20,"Knowledge cutoff date is estimated at May 1, 2024, according to https://hub.docker.com/r/ai/deepseek-r1-distill-llama.",,,,deepseek-r1-distill-llama-70b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
DeepSeek-R1-Distill-Qwen-32B,DeepSeek-R1-Distill-Qwen-32B,,deepseek-ai,2025-01-20,,,,,deepseek-r1-distill-qwen-32b,recEyZ7hXqvBVFI5X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,rechDjVAb3TqJyReP
DeepSeek-R1-Distill-Qwen-14B,DeepSeek-R1-Distill-Qwen-14B,,deepseek-ai,2025-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,recRiSTcHPzVYzROJ
DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,,deepseek-ai,2025-01-20,"Knowledge cutoff date is estimated at May 1, 2024, according to https://hub.docker.com/r/ai/deepseek-r1-distill-llama.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-7B,,deepseek-ai,2025-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-1.5B,,deepseek-ai,2025-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
o3-mini-2025-01-31_medium,o3-mini,o3-mini (medium),,2025-01-31,"Knowledge cutoff date of 03-mini is September 30, 2023, according to https://platform.openai.com/docs/models/o3-mini.",,rectGRIeRMF8LhwRY,,o3-mini-2025-01-31-medium,,,openai/o3-mini:medium,,recgqUvke6VOkEmBB,,,,,o3-mini (2025-01-31),o3-mini,,recZdBmmrzod4SvRl,recF0Rko4uHeKxc4o,,,recz82I1vqPvL5SHN,recFt9Ufy79jEUKw6,,,,,,,,recbWA5ez0Od24mAR,,,,,,,,,,,,recKkBnHhDmmhkCSp,,,,,,,,reccaAt5G9TDn0jqF,1,
gemini-2.0-flash-001,Gemini 2.0 Flash,Gemini 2.0 Flash (Feb 2025),,2025-02-05,"Knowledge cutoff date is June 1, 2024, according to https://cloud.google.com/vertex-ai/generative-ai/docs/models/gemini/2-0-flash.",,,,gemini-2.0-flash,,Gemini 2.0 Flash,,,rec2ZAMUe9ddSA0jr,,,,,"Gemini 2.0 Flash Lite (001),Gemini 2.0 Flash (001)",Gemini 2.0 Flash,,,,,rec7kPZI1YDSo2DgB,recGOLP9NP6FCnY23,rec4KyH2HNvrzfxse,,,,,,,,,,,recxtja3SQ7xBN9x6,,,,,,,,,,,,,recH4eRsQ6SLuBw9B,,,,recLoR8zITrGYjjU3,1,
gemini-2.0-pro-exp-02-05,Gemini 2.0 Pro,Gemini 2.0 Pro Exp (Feb 2025),,2025-02-05,"Knowledge cutoff date is August 1, 2024, according to https://web.archive.org/web/20250318112218/https://ai.google.dev/gemini-api/docs/models.",,"recFbazQb9nPYQlUg,recrdQur5X1AvA3FX",,gemini-2.0-pro-exp-02-05,,,,rec69iM4Ha8AzXt4y,rec3yrXg7sjOWAYJD,,,,,Gemini 2.0 Pro Experimental (02-05),Gemini 2.0 Pro,,,,,reclHgkpvjV780Uoa,reciNLWokJjiot8GQ,,,,,,,,,,,,,,,,,,,,,,,,,,,recFdC251JDLLZNaH,recFEg3PVDiNEdPuQ,recuKnNSYQQX9Uiqy,1,
gemini-2.0-flash-thinking-exp-01-21,Gemini 2.0 Flash Thinking,Gemini 2.0 Flash Thinking Exp,,2025-01-21,"Knowledge cutoff date appears to be August 1, 2024, according to https://www.datacamp.com/blog/gemini-2-0-flash-experimental.",,rec00y8O2BvpWQfcl,,gemini-2.0-flash-thinking-exp-01-21,,,,recXK66wsi3QrE9yH,receFyTNQKyKKfYxQ,recuXcLAsfUz4Bx9u,,,,Gemini 2.0 Flash Thinking - Experimental (01-21),,,,rec7Ad0FQVVUZGJ0o,,recmnSNuTyajmziUQ,recoYeNjjrrMQeCov,,,,,,,,,,,,,,,,,,,,,,,,,,,recgRy7K5wmxdo1gR,rec4KO33O5wPVvnnT,recjTCPh4R3LAV4Qv,1,
s1-32B,s1,,simplescaling,2025-01-14,,https://huggingface.co/simplescaling/s1-32B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,recZXC53e7WxSzOtB
o3-mini-2025-01-31_high,o3-mini,o3-mini (high),,2025-01-31,"Knowledge cutoff date of 03-mini is September 30, 2023, according to https://platform.openai.com/docs/models/o3-mini.",,recyzvCSCQZ2WoxRz,,o3-mini-2025-01-31-high,,,openai/o3-mini:high,reccruSoIiLByWuYV,reciewGCgzyyNzf2b,recsKDEJe3WUTzlXB,,,,o3-mini-high,,,,recfjLnZ7q8ZmOFwC,,,,,,,,,,,,,,,,,recmNBNhajAOofv1Q,,,,,,,recsslT51vOvwD7Hw,,,,recgbBevs5M9TnP36,,,,rec6q8dGotKOqkYg8,1,
o1-2024-12-17_high,o1,o1 (high),,2024-12-17,"The o1 series of models are trained with reinforcement learning to perform complex reasoning. o1 models think before they answer, producing a long internal chain of thought before responding to the user. Learn about the capabilities of o1 models in our reasoning guide.

There are two model types available today:

o1: reasoning model designed to solve hard problems across domains
o1-mini: fast and affordable reasoning model for specialized tasks
The latest o1 model supports both text and image inputs, and produces text outputs (including Structured Outputs). o1-mini currently only supports text inputs and outputs.

The knowledge cutoff for o1 and o1-mini models is October, 2023.

Knowledge cutoff date of o1-2024-12-17 is September 30, 2023, according to https://platform.openai.com/docs/models/o1.",https://platform.openai.com/docs/models#o1,recsBapERP76dJ1KO,,o1-2024-12-17-high,,,,recuCLMH33CPFdZX5,,rec6j46lH0wCisYVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recGNHgU4woBudrxm,,,,rec5VsqW94FJ6lWvJ,1,
o1-mini-2024-09-12_high,o1-mini,o1-mini (high),,2024-09-12,"The o1 series of models are trained with reinforcement learning to perform complex reasoning. o1 models think before they answer, producing a long internal chain of thought before responding to the user. Learn about the capabilities of o1 models in our reasoning guide.

There are two model types available today:

o1: reasoning model designed to solve hard problems across domains
o1-mini: fast and affordable reasoning model for specialized tasks
The latest o1 model supports both text and image inputs, and produces text outputs (including Structured Outputs). o1-mini currently only supports text inputs and outputs.

The knowledge cutoff for o1 and o1-mini models is October, 2023.

Knowledge cutoff date of o1-mini is September 30, 2023, according to https://platform.openai.com/docs/models/o1-mini.",https://platform.openai.com/docs/models#o1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
claude-3-7-sonnet-20250219,Claude 3.7 Sonnet,,,2025-02-24,"Knowledge cutoff date is November 1, 2024, according to https://docs.anthropic.com/en/docs/about-claude/models/overview.",,reckNZe7HU86uyqhi,"Claude 3.7 Sonnet (50 steps),Claude 3.7 Sonnet (15 steps),Claude 3.7 Sonnet (100 steps)","claude-3-7-sonnet-thinking,claude-3-7-sonnet",,,anthropic/claude-3.7-sonnet,recJf6Q41NDvrhlnj,recumTXyHTALFh1iH,rectGr4imJANQzE34,recMdFyhIap9Qd5gs,,,,Claude 3.7 Sonnet,,reccK2H4ppj3E4QcM,reci1bJfZoH6BKt6v,,recz7nkHBBRKXIWzd,recGGYBroJyICDKfr,recfhRjXU8DqyvaLJ,recM5woYQkKuJ3OW3,,,,,,,,"recHaZf9xmVOj8cxI,recQJgn8smPVLOz3F",,,,recoExXWLABCrn50A,,,,,,,recDy7yrZGrBGUAKD,,,,,,"recfX4Jv2rzvQXcoj,recdKJTEA3mpwyUqv","recjLhovvriibzEHq,recT557yYZZ8wT8Wa","recHDq5Enk51CEuB3,recNIoqd4IrWl1mR8",1,
mistral-large-2411,Mistral Large 2,,,2024-11-18,,,,,mistral-large-2411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
claude-3-7-sonnet-20250219_16K,Claude 3.7 Sonnet,Claude 3.7 Sonnet (16k thinking),,2025-02-24,"Knowledge cutoff date is likely November 1, 2024, the same as that of claude-3-7-sonnet-20250219, according to https://docs.anthropic.com/en/docs/about-claude/models/overview.",,,,,,,,,,,,,,,,,,recsJfvmkvg5HQXtd,,,,,,,,,,,,,,,,,,,,,,,,recgR391dmSWyZjKu,,,,,,,,,0,
Phi-4-mini-instruct,Phi-4 Mini,,microsoft,2025-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
gpt-4.5-preview-2025-02-27,GPT-4.5,GPT-4.5 Preview (Feb 2025),,2025-02-27,"This is the current version of the model, which has a knowledge cutoff date of October 1, 2023, according to https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-45-preview.",,recZJiRq9rBdLK3Oh,,gpt-4.5-preview,,,openai/gpt-4.5-preview,recJJ3xWqcT0zlDfD,,recNFMYJcGpWOttKB,,,,GPT 4.5 - Preview (2025-02-27),,,rec7SnJJ5vaTPzZMS,rec1SxklVeGLx1G1l,,,recxY9ZAuaCjDhXWj,,recmQTMUVSEqkDA69,,,,,,,,,,,,,,,,,,,recqWXrYnfvx1C2KT,,,,recJkoZfVe1YtOBro,,recH8oRRQWbaKnxYx,recrPheUGwHGiK3zz,recAkRtiCnv1E8r8T,1,
claude-3-7-sonnet-20250219_64K,Claude 3.7 Sonnet,Claude 3.7 Sonnet (64k thinking),,2025-02-24,"Knowledge cutoff date is likely November 1, 2024, the same as that of claude-3-7-sonnet-20250219, according to https://docs.anthropic.com/en/docs/about-claude/models/overview.",,,,,,,,,,,,,,,,,,,,,,,recoN8YNFbyWyRXtj,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
claude-3-7-sonnet-20250219_32K,Claude 3.7 Sonnet,Claude 3.7 Sonnet (32k thinking),,2025-02-24,"Knowledge cutoff date is likely November 1, 2024, the same as that of claude-3-7-sonnet-20250219, according to https://docs.anthropic.com/en/docs/about-claude/models/overview.",,recyIxXTFMw9aOxsg,,,,,,,,,,,,,,recqRojHxRU5ySXWq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
gemma-3-27b-it,Gemma 3 27B,,google,2025-03-12,"Knowledge cutoff date is August 1, 2024, according to https://ai.google.dev/gemma/docs/core/model_card_3#:~:text=The%2027B%20model%20was%20trained,training%20data%20was%20August%202024.",https://huggingface.co/google/gemma-3-27b-it,recUtWAOufdMzGmou,,gemma-3-27b-it,,,,rectS5Shei0prMgIC,,,,,,,,,,recJHtOReC3qBWu5u,,recNtW91J7ujwVEd3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
gemma-3-12b-it,Gemma 3 12B,,google,2025-03-12,"Knowledge cutoff date is August 1, 2024, according to https://ai.google.dev/gemma/docs/core/model_card_3#:~:text=The%2027B%20model%20was%20trained,training%20data%20was%20August%202024.",https://huggingface.co/google/gemma-3-12b-it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
gemma-3-4b-it,Gemma 3 4B,,google,2025-03-12,"Knowledge cutoff date is August 1, 2024, according to https://ai.google.dev/gemma/docs/core/model_card_3#:~:text=The%2027B%20model%20was%20trained,training%20data%20was%20August%202024.",https://huggingface.co/google/gemma-3-4b-it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
gemma-3-1b-it,Gemma 3 1B,,google,2025-03-12,"Knowledge cutoff date is August 1, 2024, according to https://ai.google.dev/gemma/docs/core/model_card_3#:~:text=The%2027B%20model%20was%20trained,training%20data%20was%20August%202024.",https://huggingface.co/google/gemma-3-1b-it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
mistral-small-2503,Mistral Small 3.1,,,2025-03-17,,https://mistral.ai/news/mistral-small-3-1,,,mistral-small-2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,recmaagCi1t4TytZW
EXAONE-Deep-32B,EXAONE Deep 32B,,LGAI-EXAONE,2025-03-18,,https://huggingface.co/LGAI-EXAONE/EXAONE-Deep-32B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,recm1fPELuvWpYjFG
gemini-2.5-pro-exp-03-25,Gemini 2.5 Pro,Gemini 2.5 Pro Exp (Mar 2025),,2025-03-25,"Knowledge cutoff date should be January 1, 2025, according to https://web.archive.org/web/20250326023002/https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-exp-03-25.",,recQlPsg6RDQbmeuu,,gemini-2.5-pro-exp-03-25,recSOJ5L6wiyC21mt,,,recUQwtRRT7gBEfF4,,reccAb0YstbYurrte,rech5IPmXMLBpbpcN,,,gemini-2.5-pro-exp-03-25,,,,rectFWVD6OaR7zTAc,,"recg6GWc9cY6qgqhY,recKwlVhpDLw3jftZ",recAZiG0Os3UJJLZP,,,,,,,,,,,,recaPGaftqlOiGhLM,,,,,,,,,,,,,,,recuNAoEB4qQmYniF,recMtkuVC17zjUTdA,recACF03Wi75DTKmK,1,
DeepSeek-V3-0324,DeepSeek-V3,DeepSeek-V3 (Mar 2025),deepseek-ai,2025-03-24,,https://huggingface.co/deepseek-ai/DeepSeek-V3-0324,recuYSkwNLFezoACW,,deepseek-v3-0324,,,,recwfy7JjlIwx2rhc,recgHWkkshK8nYtfz,rec0QIxD9Dbi1PU3M,,,,DeepSeek-V3-0324,,rec5tXt66EEIgBcLi,,recqkT3tIKjY1r3fM,,,,,,,,,,,,,,,,,,,,,,,,,,,,recRV03WT6QZrAKTk,,,,recnPbrqZ3Fp0EVC4,1,
qwen-max-2025-01-25,Qwen2.5-Max,,,2025-01-25,,,recDgfyv8YjZ4PXlf,,,,,,,,,,,,Qwen-Max (2025-01-25),,,,,,,recDlmkp8cUZjWD1i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
qwen-plus-2025-01-25,Qwen Plus,,,2025-01-25,,,,,,,,,,,,,,,Qwen-Plus (2025-01-25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
qwen-turbo-2024-11-01,Qwen-Turbo,,,2024-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
qwen2.5-14b-instruct,Qwen2.5-14B,,Qwen,2025-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,recaLqeKOZiJFuyWC,,,,,,,,,,,,,,,,,,,,,,,,0,
qwen2.5-7b-instruct,Qwen2.5-7B,,Qwen,2025-02-26,,,,,,recEMm4aiOXvIdY1V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
qwen2-57b-a14b-instruct,Qwen2-57B-A14B,,Qwen,2024-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
qwen2-7b-instruct,Qwen2-7B,,Qwen,2024-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
qvq-max-2025-03-25,QVQ-Max,,,2025-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Llama-4-Scout-17B-16E-Instruct,Llama 4 Scout,,meta-llama,2025-04-05,"Knowledge cutoff date is August 1, 2024, according to https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct.",,,,,,,,recdzIjkt9wQA60KR,recnoUKWcpo8ct7TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recNN11X9GLUAxRYd,,,,,,,,,1,
Llama-4-Maverick-17B-128E-Instruct-FP8,Llama 4 Maverick,Llama 4 Maverick (FP8),meta-llama,2025-04-05,"Knowledge cutoff date is August 1, 2024, according to https://deepinfra.com/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
qwq-plus,QWQ-Plus,,,2025-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
reka-flash-3,Reka Flash 3,,RekaAI,2025-03-10,,https://huggingface.co/RekaAI/reka-flash-3,,,,recNhhny2hCRlcZ6O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
